epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2192.98,2.07023,4.09872,2.24434,0.11346,0.24621,0.00901,0.00292,2.7119,6.95673,3.11066,0.0700286,0.00333015,0.00333015
2,2494.8,1.95311,3.73849,2.06757,0.59153,0.09848,0.02968,0.01137,2.01208,4.21601,2.26965,0.0399271,0.006562,0.006562
3,2828.36,1.86021,3.57439,1.98173,0.52734,0.11947,0.08998,0.04145,1.98665,3.61548,2.13403,0.00972411,0.0096923,0.0096923
4,3161.63,1.81163,3.42125,1.92672,0.74623,0.12027,0.10286,0.04887,1.95981,3.53916,2.14708,0.00954308,0.00954308,0.00954308
5,3490.13,1.77632,3.31067,1.88533,0.81445,0.0891,0.13634,0.06642,1.95899,3.29897,2.11436,0.00939077,0.00939077,0.00939077
6,3813.33,1.71931,3.21285,1.83749,0.50333,0.21914,0.18517,0.08318,1.88945,3.08843,2.02353,0.00923846,0.00923846,0.00923846
7,4112.6,1.69375,3.14274,1.82191,0.59372,0.23642,0.20675,0.09852,1.85727,2.95209,2.01777,0.00908615,0.00908615,0.00908615
8,4425.07,1.69295,3.06928,1.81676,0.53312,0.25792,0.24903,0.12542,1.77054,2.79619,1.9421,0.00893385,0.00893385,0.00893385
9,4833.98,1.64838,3.01576,1.77202,0.73303,0.19135,0.23637,0.12086,1.80294,2.76261,1.97747,0.00878154,0.00878154,0.00878154
10,5389.79,1.64807,2.99114,1.77946,0.65253,0.23588,0.27295,0.15437,1.71308,2.78988,1.92468,0.00862923,0.00862923,0.00862923
11,6086.73,1.61947,2.93017,1.7618,0.59523,0.23526,0.265,0.13251,1.83033,2.72332,2.01186,0.00847692,0.00847692,0.00847692
12,6393.06,1.6137,2.84367,1.74157,0.6374,0.18743,0.27429,0.1624,1.6658,2.60144,1.88618,0.00832462,0.00832462,0.00832462
13,6705.74,1.60165,2.82291,1.7389,0.60522,0.27728,0.29788,0.16146,1.70771,2.62317,1.88168,0.00817231,0.00817231,0.00817231
14,7024.08,1.60282,2.79458,1.72655,0.5419,0.32407,0.33787,0.18663,1.62015,2.47025,1.8084,0.00802,0.00802,0.00802
15,7332.35,1.5679,2.71615,1.70408,0.52571,0.37951,0.33658,0.19418,1.56696,2.39793,1.76041,0.00786769,0.00786769,0.00786769
16,7638.89,1.5688,2.7047,1.70148,0.67504,0.28682,0.34954,0.19454,1.64071,2.36899,1.82458,0.00771538,0.00771538,0.00771538
17,7950.86,1.54025,2.62384,1.68517,0.70872,0.32972,0.39163,0.22547,1.58272,2.29101,1.76866,0.00756308,0.00756308,0.00756308
18,8313.01,1.53484,2.59842,1.67308,0.56292,0.32008,0.36108,0.21004,1.59095,2.32922,1.81889,0.00741077,0.00741077,0.00741077
19,8897.23,1.5262,2.57422,1.67489,0.61371,0.34193,0.40052,0.24058,1.52794,2.24118,1.7417,0.00725846,0.00725846,0.00725846
20,10094.7,1.51432,2.54376,1.66179,0.49645,0.36948,0.37442,0.20678,1.67796,2.31627,1.87284,0.00710615,0.00710615,0.00710615
21,11249.4,1.49898,2.46985,1.65189,0.59234,0.36773,0.4095,0.21981,1.61254,2.25912,1.81471,0.00695385,0.00695385,0.00695385
22,12383.5,1.50052,2.47189,1.65431,0.59475,0.40183,0.4637,0.26622,1.51099,2.06068,1.717,0.00680154,0.00680154,0.00680154
23,12804.4,1.48345,2.41289,1.63956,0.48223,0.44925,0.45226,0.25643,1.55288,2.10544,1.74699,0.00664923,0.00664923,0.00664923
24,13127.4,1.46964,2.39096,1.63931,0.58033,0.44371,0.462,0.26021,1.55686,2.026,1.7428,0.00649692,0.00649692,0.00649692
25,13459.3,1.47802,2.34955,1.6299,0.64885,0.40999,0.48076,0.28381,1.507,2.09823,1.71737,0.00634462,0.00634462,0.00634462
26,13783.7,1.46037,2.32739,1.61219,0.57106,0.45206,0.49687,0.29598,1.49239,1.95077,1.69874,0.00619231,0.00619231,0.00619231
27,14111.3,1.44008,2.28188,1.60587,0.73167,0.35654,0.50627,0.31659,1.49999,1.92951,1.70233,0.00604,0.00604,0.00604
28,14432.8,1.44036,2.25343,1.60255,0.54461,0.47002,0.50164,0.29116,1.5552,1.91461,1.73512,0.00588769,0.00588769,0.00588769
29,14754.4,1.43667,2.23396,1.59594,0.57204,0.47309,0.51784,0.3058,1.5388,1.94328,1.7219,0.00573538,0.00573538,0.00573538
30,15536.1,1.43538,2.21278,1.59754,0.4908,0.49827,0.52499,0.32659,1.45551,1.83301,1.67337,0.00558308,0.00558308,0.00558308
31,16865.9,1.41995,2.17497,1.58161,0.62379,0.42125,0.48872,0.28682,1.54076,1.93559,1.71363,0.00543077,0.00543077,0.00543077
32,17729,1.42028,2.14021,1.58792,0.46973,0.51751,0.50981,0.30581,1.49675,1.85401,1.66971,0.00527846,0.00527846,0.00527846
33,18037.6,1.40922,2.12617,1.57601,0.60174,0.50777,0.53107,0.30659,1.50148,1.83542,1.71134,0.00512615,0.00512615,0.00512615
34,18355.8,1.39283,2.08117,1.56866,0.57006,0.50918,0.54329,0.33353,1.47509,1.78573,1.68034,0.00497385,0.00497385,0.00497385
35,18665.6,1.3851,2.06433,1.56225,0.58251,0.51906,0.56649,0.33116,1.51175,1.80426,1.70899,0.00482154,0.00482154,0.00482154
36,18964.6,1.38401,2.05166,1.55754,0.60173,0.56388,0.58099,0.34376,1.48665,1.74478,1.6722,0.00466923,0.00466923,0.00466923
37,19278.3,1.37533,2.01868,1.55307,0.58565,0.53357,0.56801,0.33375,1.49259,1.80107,1.70443,0.00451692,0.00451692,0.00451692
38,19575.3,1.38005,2.00695,1.55436,0.55801,0.56189,0.5629,0.33641,1.47701,1.74174,1.68816,0.00436462,0.00436462,0.00436462
39,19887.5,1.38141,1.97872,1.55547,0.58123,0.52532,0.56316,0.32955,1.46447,1.75452,1.66986,0.00421231,0.00421231,0.00421231
40,20205,1.35805,1.95702,1.53379,0.54733,0.58803,0.5747,0.328,1.53708,1.72281,1.72367,0.00406,0.00406,0.00406
41,20524.3,1.3499,1.92517,1.5343,0.64096,0.53603,0.60629,0.36135,1.44095,1.63688,1.63979,0.00390769,0.00390769,0.00390769
42,20846.3,1.35694,1.93293,1.5322,0.63407,0.53611,0.59194,0.3424,1.51168,1.71749,1.68959,0.00375538,0.00375538,0.00375538
43,21224.3,1.33958,1.86987,1.51977,0.61286,0.60383,0.62675,0.36765,1.48216,1.64522,1.68138,0.00360308,0.00360308,0.00360308
44,22307.2,1.3256,1.87483,1.51587,0.67214,0.5322,0.61422,0.36145,1.45967,1.63425,1.65676,0.00345077,0.00345077,0.00345077
45,23417.8,1.32203,1.86847,1.51291,0.62241,0.60262,0.64065,0.38152,1.4307,1.59098,1.64481,0.00329846,0.00329846,0.00329846
46,24542,1.31755,1.8551,1.50394,0.7675,0.54791,0.62748,0.37671,1.47553,1.65483,1.68058,0.00314615,0.00314615,0.00314615
47,25408.5,1.2928,1.79604,1.48631,0.70409,0.5466,0.62235,0.37618,1.4432,1.61564,1.63623,0.00299385,0.00299385,0.00299385
48,25727.7,1.30503,1.80745,1.48977,0.6673,0.5292,0.6127,0.36904,1.48971,1.61875,1.68744,0.00284154,0.00284154,0.00284154
49,26034,1.28968,1.78357,1.48208,0.66284,0.57942,0.62592,0.38198,1.46279,1.53614,1.66371,0.00268923,0.00268923,0.00268923
50,26352.7,1.29164,1.74293,1.48333,0.65015,0.55992,0.62646,0.38598,1.47131,1.54635,1.65786,0.00253692,0.00253692,0.00253692
51,26672.3,1.2857,1.74144,1.48315,0.64557,0.58236,0.63447,0.3813,1.49698,1.54508,1.68411,0.00238462,0.00238462,0.00238462
52,27001.1,1.27944,1.72365,1.47975,0.61214,0.61436,0.64601,0.38834,1.47291,1.55884,1.66298,0.00223231,0.00223231,0.00223231
53,27312.9,1.27918,1.70407,1.48006,0.69722,0.56652,0.65475,0.40162,1.45026,1.49547,1.65714,0.00208,0.00208,0.00208
54,27622.7,1.27575,1.68799,1.4729,0.61853,0.60385,0.63902,0.38555,1.45149,1.52391,1.64493,0.00192769,0.00192769,0.00192769
55,27941.1,1.25667,1.67861,1.46881,0.66224,0.6057,0.65704,0.39569,1.45169,1.50396,1.65682,0.00177538,0.00177538,0.00177538
56,28258.3,1.19548,1.29757,1.51063,0.69726,0.573,0.62835,0.38937,1.43069,1.50994,1.64434,0.00162308,0.00162308,0.00162308
57,28577.8,1.16962,1.21258,1.49737,0.68001,0.589,0.64505,0.40089,1.44454,1.47712,1.65872,0.00147077,0.00147077,0.00147077
58,28893,1.15739,1.16827,1.48103,0.70951,0.59139,0.65451,0.40375,1.445,1.44797,1.66869,0.00131846,0.00131846,0.00131846
59,29206.1,1.14838,1.13565,1.48129,0.74058,0.573,0.66236,0.41578,1.44748,1.4849,1.67341,0.00116615,0.00116615,0.00116615
60,29519.5,1.12908,1.11858,1.46428,0.71912,0.59399,0.65761,0.40371,1.44331,1.43775,1.66502,0.00101385,0.00101385,0.00101385
61,29832,1.10892,1.07683,1.45001,0.74283,0.58255,0.65532,0.41354,1.41486,1.4397,1.65201,0.000861538,0.000861538,0.000861538
62,30153.7,1.10431,1.06162,1.43002,0.66509,0.61838,0.65552,0.4103,1.4173,1.44602,1.64869,0.000709231,0.000709231,0.000709231
63,30479.7,1.09451,1.04404,1.43419,0.66577,0.6103,0.64558,0.40843,1.40241,1.42921,1.63845,0.000556923,0.000556923,0.000556923
64,30805.8,1.0856,1.02645,1.42298,0.65219,0.6449,0.6691,0.41104,1.39737,1.43349,1.63456,0.000404615,0.000404615,0.000404615
65,31130.8,1.06957,1.00564,1.40933,0.66755,0.61947,0.6631,0.41948,1.41091,1.44659,1.64866,0.000252308,0.000252308,0.000252308
